tfidf,semantic,skill_coverage,preferred_coverage,jd_has_skills,n_jd_skills,n_matched_skills,n_resume_skills,keyword_coverage,resume_words,jd_words,words_ratio,label
0.042549530630723954,0.35698869824409485,0.5,0.0,1,2,1,1,0.4666666666666667,794,559,1.4203935599284436,0
0.05123087781589314,0.3399442732334137,0.0,0.0,1,2,0,0,0.4666666666666667,863,568,1.5193661971830985,0
0.030812017459878233,0.26960185170173645,0.0,0.0,1,3,0,0,0.06666666666666667,872,438,1.9908675799086757,0
0.027650431936648796,0.2331753522157669,0.0,0.0,0,0,0,1,0.3,684,164,4.170731707317073,0
0.05212461183090297,0.28291791677474976,0.0,0.0,1,6,0,5,0.2,1789,877,2.039908779931585,0
0.04696761133984424,0.34666207432746887,0.0,0.0,1,9,0,1,0.3333333333333333,585,306,1.911764705882353,0
0.014463151174534634,0.343058705329895,0.0,0.0,0,0,0,1,0.0,463,101,4.584158415841584,0
0.026045604161861288,0.2912745475769043,0.0,0.0,1,3,0,1,0.125,295,169,1.7455621301775148,0
0.03463340140971564,0.2814103662967682,0.0,0.0,1,3,0,1,0.4,450,774,0.5813953488372093,0
0.05239227280182234,0.3368600904941559,0.0,0.0,1,1,0,6,0.3333333333333333,705,572,1.2325174825174825,0
0.020545775092549637,0.3032110333442688,0.0,0.0,0,0,0,0,0.0,308,289,1.065743944636678,0
0.053280161246377494,0.4471203684806824,0.5,0.0,1,2,1,4,0.2,638,452,1.4115044247787611,0
0.03536078728288446,0.4149321913719177,0.0,0.0,1,1,0,1,0.2857142857142857,641,121,5.297520661157025,0
0.01864886426901616,0.22208407521247864,0.0,0.0,1,7,0,2,0.0,331,682,0.48533724340175954,0
0.041946755164463397,0.3203533887863159,0.0,0.0,1,1,0,8,0.2,597,572,1.0437062937062938,0
0.04280575023537229,0.32173240184783936,0.0,0.0,0,0,0,7,0.2,440,476,0.9243697478991597,0
0.04418282579631459,0.42263156175613403,0.13333333333333333,0.0,1,15,2,4,0.4,559,380,1.4710526315789474,0
0.018037328904518667,0.31777095794677734,0.0,0.0,1,1,0,0,0.0,478,296,1.614864864864865,0
0.024145319780786715,0.3020727336406708,0.0,0.0,1,1,0,7,0.16666666666666666,1006,136,7.397058823529412,0
0.02354466716529359,0.2713428735733032,1.0,0.0,1,1,1,9,0.0,530,136,3.8970588235294117,0
0.05100243793194206,0.39039742946624756,0.2222222222222222,0.0,1,9,2,16,0.3333333333333333,655,306,2.1405228758169934,0
0.04143969717661791,0.307533323764801,0.0,0.0,1,1,0,7,0.2,440,349,1.2607449856733524,0
0.0507216527785688,0.29635128378868103,1.0,0.0,1,1,1,12,0.13333333333333333,1153,810,1.4234567901234567,0
0.037995141183967664,0.3010031282901764,0.0,0.0,1,13,0,0,0.2,609,780,0.7807692307692308,0
0.06906566069649689,0.3398909866809845,0.6666666666666666,0.0,1,3,2,11,0.35714285714285715,1321,269,4.910780669144981,0
0.023115174804465434,0.30653560161590576,0.0,0.0,0,0,0,2,0.0,843,385,2.18961038961039,0
0.03501921658021305,0.34649455547332764,1.0,0.0,1,1,1,2,0.13333333333333333,245,317,0.7728706624605678,0
0.03264238721250601,0.2780085504055023,0.0,0.0,1,6,0,0,0.2,626,877,0.7137970353477765,0
0.03841221526354887,0.3827926516532898,0.0,0.0,1,4,0,1,0.14285714285714285,458,203,2.2561576354679804,0
0.04294473556006068,0.30885469913482666,0.0,0.0,1,7,0,1,0.3333333333333333,436,1038,0.42003853564547206,0
0.03589025864440143,0.4559122622013092,0.0,0.0,0,0,0,2,0.2,688,121,5.68595041322314,0
0.038242429944278816,0.30654746294021606,1.0,0.0,1,1,1,2,0.26666666666666666,809,370,2.1864864864864866,0
0.04538788040933779,0.46709728240966797,1.0,0.0,1,1,1,1,0.4,766,270,2.837037037037037,0
0.06877682028877012,0.3627796173095703,0.25,0.0,1,4,1,1,0.6,695,599,1.1602671118530885,0
0.028794961260097753,0.47090595960617065,0.0,0.0,1,1,0,1,0.6666666666666666,800,41,19.51219512195122,0
0.043915192880936996,0.3574617803096771,0.0,0.0,1,1,0,2,0.375,758,134,5.656716417910448,0
0.02100497172598014,0.3078710734844208,0.0,0.0,0,0,0,9,0.0,777,170,4.570588235294117,0
0.04597345581912644,0.4236191213130951,0.0,0.0,0,0,0,1,0.3333333333333333,287,277,1.036101083032491,0
0.008984072284694916,0.23533299565315247,0.0,0.0,1,1,0,14,0.0,680,79,8.60759493670886,0
0.036231781154958,0.3276520371437073,0.0,0.0,0,0,0,1,0.2,353,666,0.53003003003003,0
0.038257734358221766,0.3354291617870331,0.0,0.0,1,3,0,1,0.2222222222222222,815,194,4.201030927835052,0
0.023470457293033008,0.3860321044921875,0.25,0.0,1,4,1,2,0.13333333333333333,256,330,0.7757575757575758,0
0.03141047463226773,0.3375324010848999,0.0,0.0,1,3,0,9,0.26666666666666666,609,582,1.0463917525773196,0
0.0176336985751396,0.37542301416397095,0.0,0.0,0,0,0,1,0.2,517,108,4.787037037037037,0
0.06166687583010034,0.3261694014072418,1.0,0.0,1,1,1,9,0.3333333333333333,1000,810,1.2345679012345678,0
0.005646805011387259,0.22267955541610718,0.0,0.0,1,2,0,0,0.0,84,73,1.1506849315068493,0
0.06805135920938558,0.40952134132385254,1.0,0.0,1,2,2,39,0.5333333333333333,2130,452,4.712389380530974,0
0.03878427030437319,0.3327833414077759,0.0,0.0,0,0,0,10,0.2,957,415,2.306024096385542,0
0.04782884863963845,0.28920239210128784,0.0,0.0,0,0,0,5,0.26666666666666666,1789,1038,1.7235067437379576,0
0.054320572630251286,0.3718862533569336,0.0,0.0,1,8,0,0,0.06666666666666667,883,497,1.7766599597585513,0
0.03355738690943379,0.3845868408679962,0.0,0.0,1,1,0,2,0.5,1695,96,17.65625,0
0.037886319922705365,0.30306315422058105,0.0,0.0,1,6,0,3,0.26666666666666666,270,279,0.967741935483871,0
0.049676072115161375,0.37135007977485657,0.0,0.0,1,1,0,3,0.26666666666666666,585,349,1.67621776504298,0
0.04864600116833989,0.3888205885887146,0.3333333333333333,0.0,1,3,1,2,0.3333333333333333,536,582,0.9209621993127147,0
0.03345576326168096,0.3084312677383423,0.0,0.0,1,7,0,1,0.26666666666666666,553,474,1.1666666666666667,0
0.04981232081930231,0.3306574523448944,0.0,0.0,1,9,0,5,0.4666666666666667,760,683,1.1127379209370425,0
0.021233842807984266,0.2162134200334549,0.0,0.0,1,1,0,8,0.06666666666666667,579,330,1.7545454545454546,0
0.033067455540855814,0.2721773386001587,0.0,0.0,1,2,0,17,0.13333333333333333,488,666,0.7327327327327328,0
0.023013470257046746,0.33190539479255676,0.0,0.0,0,0,0,9,0.0,777,132,5.886363636363637,0
0.043916979477069865,0.3434833884239197,0.0,0.0,1,1,0,2,0.2857142857142857,939,121,7.760330578512397,0
0.017628422162078373,0.23193086683750153,0.0,0.0,0,0,0,0,0.0,582,214,2.7196261682242993,0
0.024338646635216236,0.3242958188056946,0.0,0.0,0,0,0,1,0.3333333333333333,578,328,1.7621951219512195,0
0.04732372806876136,0.3657590448856354,0.0,0.0,1,2,0,1,0.3333333333333333,659,476,1.384453781512605,0
0.045779478264737675,0.5109968781471252,0.2,0.0,1,5,1,7,0.5714285714285714,887,165,5.375757575757576,0
0.020355807534088652,0.36363157629966736,0.0,0.0,1,2,0,0,0.25,620,73,8.493150684931507,0
0.024992864301096655,0.31347420811653137,0.0,0.0,1,4,0,1,0.26666666666666666,295,330,0.8939393939393939,0
0.02880282696879299,0.3403779864311218,0.0,0.0,1,15,0,1,0.13333333333333333,553,382,1.4476439790575917,0
0.02062916347433816,0.294868528842926,0.25,0.0,1,4,1,6,0.26666666666666666,392,216,1.8148148148148149,0
0.05948149854577352,0.2858901619911194,0.18181818181818182,0.0,1,11,2,7,0.6,1269,756,1.6785714285714286,0
0.027880203742324135,0.28098246455192566,0.0,0.0,0,0,0,19,0.13333333333333333,542,574,0.9442508710801394,0
0.031580258340260764,0.3697906732559204,0.0,0.0,0,0,0,2,0.125,550,101,5.445544554455446,0
0.0751769011426332,0.4147792160511017,0.0,0.0,1,1,0,7,0.5333333333333333,790,428,1.8457943925233644,0
0.039630493706377765,0.32861971855163574,0.0,0.0,1,1,0,11,0.13333333333333333,663,234,2.8333333333333335,0
0.023962687084907397,0.31931015849113464,1.0,0.0,1,1,1,9,0.125,530,219,2.4200913242009134,0
0.01843886749346906,0.2839013636112213,0.0,0.0,0,0,0,20,0.2,640,164,3.902439024390244,0
0.06802444509995799,0.32721489667892456,1.0,0.0,1,1,1,9,0.4,1000,300,3.3333333333333335,0
0.02452001282733921,0.35472798347473145,1.0,0.0,1,1,1,9,0.06666666666666667,619,273,2.2673992673992673,0
0.02111431443695899,0.35654884576797485,0.0,0.0,0,0,0,1,0.26666666666666666,684,233,2.9356223175965663,0
0.017495922269924226,0.336804062128067,0.2,0.0,1,5,1,5,0.2222222222222222,182,97,1.8762886597938144,0
0.041378819845478594,0.3703656792640686,0.0,0.0,1,1,0,3,0.26666666666666666,776,342,2.2690058479532165,0
0.04490404020497019,0.24513046443462372,0.0,0.0,1,6,0,0,0.13333333333333333,181,555,0.3261261261261261,0
0.048933355310285066,0.2802668809890747,0.0,0.0,1,2,0,0,0.4,1209,650,1.86,0
